GC=F,AAPL,MSFT,NVDA,META,GOOGL,AMZN,^GSPC,^DJI,^IXIC
4249.10009765625,,,,,,,,,
4247.7001953125,,,,,,,,,
4250.5,,,,,,,,,
4252.2001953125,,,,,,,,,
4254.2001953125,,,,,,,,,
4252.7001953125,,,,,,,,,
4251.7998046875,,,,,,,,,
4252.89990234375,,,,,,,,,
4251.39990234375,,,,,,,,,
4253.7998046875,,,,,,,,,
4255.5,,,,,,,,,
4256.5,,,,,,,,,
4257.2998046875,,,,,,,,,
4257.2001953125,,,,,,,,,
4255.7998046875,,,,,,,,,
4253.89990234375,,,,,,,,,
4244.60009765625,,,,,,,,,
4237.2001953125,,,,,,,,,
4239.7998046875,,,,,,,,,
4239.7001953125,,,,,,,,,
4240.7998046875,,,,,,,,,
4243.39990234375,,,,,,,,,
4246.2001953125,,,,,,,,,
4244.0,,,,,,,,,
4243.10009765625,,,,,,,,,
4244.2001953125,,,,,,,,,
4244.89990234375,,,,,,,,,
4248.5,,,,,,,,,
4250.10009765625,,,,,,,,,
4249.10009765625,,,,,,,,,
4247.39990234375,,,,,,,,,
4246.5,,,,,,,,,
4242.7001953125,,,,,,,,,
4244.10009765625,,,,,,,,,
4242.60009765625,,,,,,,,,
4244.5,,,,,,,,,
4244.2998046875,,,,,,,,,
4241.7998046875,,,,,,,,,
4246.0,,,,,,,,,
4244.7001953125,,,,,,,,,
4248.2998046875,,,,,,,,,
4246.0,,,,,,,,,
4246.7001953125,,,,,,,,,
4248.2001953125,,,,,,,,,
4243.5,,,,,,,,,
4244.7001953125,,,,,,,,,
4242.89990234375,,,,,,,,,
4241.39990234375,,,,,,,,,
4242.2001953125,,,,,,,,,
4238.7998046875,,,,,,,,,
4239.0,,,,,,,,,
4235.2998046875,,,,,,,,,
4230.5,,,,,,,,,
4225.2998046875,,,,,,,,,
4223.60009765625,,,,,,,,,
4220.5,,,,,,,,,
4221.60009765625,,,,,,,,,
4220.10009765625,,,,,,,,,
4224.2998046875,,,,,,,,,
4222.89990234375,,,,,,,,,
4222.39990234375,,,,,,,,,
4220.7001953125,,,,,,,,,
4217.7998046875,,,,,,,,,
4216.2001953125,,,,,,,,,
4218.5,,,,,,,,,
4217.10009765625,,,,,,,,,
4216.10009765625,,,,,,,,,
4217.60009765625,,,,,,,,,
4218.2001953125,,,,,,,,,
4216.0,,,,,,,,,
